candidate_id,name,url,one_liner,assumed_round,assumed_date,discovered_via,decision,reason
d-07,Skild AI,https://techcrunch.com/2026/01/14/robotic-software-maker-skild-ai-hits-14b-valuation/,Omni-bodied фундаментальная модель для роботов (Skild Brain),Series C $1.4B,2026-01-14,WebSearch: robotics foundation model 2026,rejected,Анонс 14.01.2026 — раньше окна 03.03–03.09.2026
d-08,Humanoid,https://www.therobotreport.com/uk-based-humanoid-secures-152m-in-series-a-funding/,Британский разработчик гуманоидных роботов,Series A $152M,2026-07-21,WebSearch: humanoid robotics series A 2026,rejected,"Вау только деньги (W4), робот не отгружен (бета Q4 2026); на фоне $8.6B в гуманоидов за H1 сумма не аномальна"
d-09,River AI,https://techfundingnews.com/xai-co-founder-raises-1-1b-for-river-ai-to-build-an-open-ai-stack/,Enterprise-платформа обучения своих моделей (Igor Babuschkin ex-xAI),first round $1.1B,2026-08-11,WebSearch: River AI Babushkin,rejected,"Вне полосы D: не frontier-категория (enterprise AI infra), происхождение фаундера из СНГ источниками не подтверждено; вау — только W4"
d-10,Runway,https://techcrunch.com/2026/02/10/ai-video-startup-runway-raises-315m-at-5-3b-valuation-eyes-more-capable-world-models/,AI-видео и world models,Series E $315M,2026-02-10,WebSearch: world model funding 2026,rejected,Анонс 10.02.2026 — раньше окна
d-11,World Labs,https://www.forbes.com/sites/josipamajic/2026/06/30/world-model-startups-raise-3-billion-vcs-bet-beyond-llms/,World models (Fei-Fei Li),$1B,2026-02,Forbes обзор world models,rejected,Раунд февраль 2026 — раньше окна
d-12,ElevenLabs,https://aiweekly.co/alerts/elevenlabs-anchors-7bn-voice-ai-funding-rush-in-q1-2026,Голосовой AI,Series D $500M,2026-02,WebSearch: voice AI funding 2026,rejected,Анонс февраль 2026 — раньше окна; поздняя стадия
d-13,Deepgram,https://aiweekly.co/alerts/elevenlabs-anchors-7bn-voice-ai-funding-rush-in-q1-2026,Speech-to-text AI,Series C $130M,2026-01,WebSearch: voice AI funding 2026,rejected,Анонс январь 2026 — раньше окна
d-14,Parloa,https://aiweekly.co/alerts/elevenlabs-anchors-7bn-voice-ai-funding-rush-in-q1-2026,Голосовые агенты для контакт-центров,Series D $350M,2026-01,WebSearch: voice AI funding 2026,rejected,Анонс январь 2026 — раньше окна; поздняя стадия
d-15,Decagon,https://www.newcomer.co/p/investors-go-hard-for-voice-ai-with,Голосовая поддержка клиентов,Series D $250M,2026-01,Newcomer (январские сделки),rejected,Январская сделка — раньше окна; поздняя стадия
d-16,Worldmodeldata,https://www.eu-startups.com/2026/07/uk-startup-worldmodeldata-raises-e8-million-to-turn-video-games-into-training-data-for-physical-ai/,Игровые данные для обучения physical AI,seed €8M,2026-07,EU-Startups,rejected,Второго независимого источника раунда не нашёл; вау-свидетельств вне пресс-материалов нет
d-17,Smallest.ai,https://techcrunch.com/2026/07/31/smallest-ai-raises-13m-to-build-ultra-fast-voice-ai-that-sounds-genuinely-human/,Ультрабыстрый голосовой AI,Series A $13M,2026-07-31,TechCrunch,rejected,"«Ультрабыстрый/человечный» — заявления компании; независимых вау-свидетельств (бенчмарки, вирусные демо) не найдено"
d-18,Encore AI,https://techcrunch.com/2026/07/29/encore-ai-raises-30m-to-build-ai-agents-that-learn-from-customer-calls/,AI-агенты обучающиеся на звонках клиентов,Series A $30M,2026-07-29,TechCrunch,rejected,Обычный агентный стартап: ни один признак W1–W5 не подтверждён независимо
d-19,Earendil Labs,https://intuitionlabs.ai/articles/ai-biologics-discovery-pharma-investment-trends,AI-дизайн антител и биологиков,$787M,2026-03,агрегатор IntuitionLabs,rejected,Раунд встречен только в агрегаторе; по правилам §3 не подтверждён в рамках сессии
d-20,Tomorrow.io,https://www.calcalistech.com/ctechnews/article/rj67r5yvze,AI-погода + спутниковая сеть,$175M,unknown,CTech,rejected,Дата анонса в окне не установлена в рамках сессии; поздняя стадия
d-21,Instinct,https://vc.ru/invest/3100089-startap-instinct-privlek-finansirovanie-dlya-razrabotki-ii-assistenta,ИИ-ассистент для повседневных задач (закрытая бета),$250M,2026-08,vc.ru,rejected,"Вне полосы D (consumer-ассистент, не frontier-категории задания); продукт в закрытой бете, вау не подтверждён"
d-22,Lovable,https://vc.ru/invest/3075002-startap-lovable-privlek-finansirovanie-dlya-vajb-kodinga,Вайб-кодинг платформа,$400M @ $13.3B,2026-08,vc.ru,rejected,Вне полосы D (не frontier-категория задания и не СНГ); поздняя стадия
d-23,Mymeet.ai,https://rb.ru/news/mymeetai-deal/,AI-анализ онлайн-встреч (РФ),ангельский 16.5 млн руб.,2026-06,vc.ru / Русский Венчур,rejected,"Раунд подтверждён (RB, TAdviser), но вау нет: микрочек (~$180K), рост выручки 8→64 млн руб. — цифры из отчётности компании, признаки W1–W5 не тянут на 3"
d-24,Innde,,ИИ-конструктор чат-ботов для бизнеса (РФ),5 млн руб.,2026,поиск по дайджестам Русского Венчура,rejected,"Микросделка (5 млн руб. за 20%), вау-признаков нет"
d-25,VibeVO,,Платформа для рекламодателей и видеоавторов (фаундер Вадим Стерлин),сотни тысяч $,2026,дайджест Центральной Азии the-tech.kz,rejected,"Сумма не раскрыта точно, вау-признаков нет"
d-26,New Era of Shopping,,ИИ-шопинг стартап фаундеров из России (США),$1.4M,2026,поиск по СНГ-фаундерам,rejected,"Микрочек pre-seed, вау-признаков нет"
d-27,платформа Андрея Зименкова (название не установлено),,LLM-агенты для клиентского сервиса (РФ),115 млн руб.,2026,поиск по СНГ-фаундерам,rejected,Название компании не установлено по выдаче — сделку невозможно верифицировать в рамках сессии
d-28,AMI (Yann LeCun),https://www.forbes.com/sites/josipamajic/2026/06/30/world-model-startups-raise-3-billion-vcs-bet-beyond-llms/,World models (экс-Meta Yann LeCun),seed $1.03B,2026,Forbes обзор world models,rejected,"Рекордный сид упомянут в обзоре, но дата анонса и второй источник в сессии не подтверждены; продукта нет — вау только деньги"
d-29,Genesis AI,https://startupintros.com/orgs/genesis-ai,Синтетические физдвижки для обучения роботов,seed $105M,2025-07,WebSearch: robotics foundation model,rejected,Раунд июль 2025 — раньше окна
d-30,Physical Intelligence,https://startupfundraising.com/ai-physical-intelligence-world-models-simulation-fundraising,Фундаментальные VLA-модели для роботов (PI-1),$400M,unknown,агрегатор,rejected,Дата упомянутого раунда не установлена; в источниках сессии нет подтверждения анонса в окне
